Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
l,nu,2,B,lX,l -- (l) -- B -- (X) -- nu, 1l + MET,{'lX'},['lX'],[1],['lX']
l,nu,2,W^+,lX,l -- (X) -- W^+ -- (l) -- nu, 1l + MET,{'lX'},['lX'],[1],['lX']
l,nu,2,W^0,lX,l -- (l) -- W^0 -- (X) -- nu, 1l + MET,{'lX'},['lX'],[1],['lX']
l,e,2,B,ll,l -- (l) -- B -- (l) -- e, 2l,{'ll'},['ll'],[1],['ll']
l,b_L,2,B,bl,l -- (l) -- B -- (b) -- b_L, 1b + 1l,"{'tX', 'bl'}","['bl', 'tX']","[1, 1]","['bl', 'tX']"
l,b_L,2,W^+,tX,l -- (X) -- W^+ -- (t) -- b_L, 1t + MET,"{'tX', 'bl'}","['bl', 'tX']","[1, 1]","['bl', 'tX']"
l,b_L,2,W^0,bl,l -- (l) -- W^0 -- (b) -- b_L, 1b + 1l,"{'tX', 'bl'}","['bl', 'tX']","[1, 1]","['bl', 'tX']"
l,t_L,2,B,tl,l -- (l) -- B -- (t) -- t_L, 1t + 1l,"{'bX', 'tl'}","['tl', 'bX']","[1, 1]","['tl', 'bX']"
l,t_L,2,W^+,bX,l -- (X) -- W^+ -- (b) -- t_L, 1b + MET,"{'bX', 'tl'}","['tl', 'bX']","[1, 1]","['tl', 'bX']"
l,t_L,2,W^0,tl,l -- (l) -- W^0 -- (t) -- t_L, 1t + 1l,"{'bX', 'tl'}","['tl', 'bX']","[1, 1]","['tl', 'bX']"
l,t,2,B,tl,l -- (l) -- B -- (t) -- t, 1t + 1l,{'tl'},['tl'],[1],['tl']
l,b,2,B,bl,l -- (l) -- B -- (b) -- b, 1b + 1l,{'bl'},['bl'],[1],['bl']
l,tau_L,2,B,Tl,l -- (l) -- B -- (T) -- tau_L, 1l + 1tau,"{'X', 'Tl'}","['Tl', 'X']","[1, 1]","['Tl', 'X']"
l,tau_L,2,W^+,X,l -- (X) -- W^+ -- (X) -- tau_L, MET,"{'X', 'Tl'}","['Tl', 'X']","[1, 1]","['Tl', 'X']"
l,tau_L,2,W^0,Tl,l -- (l) -- W^0 -- (T) -- tau_L, 1l + 1tau,"{'X', 'Tl'}","['Tl', 'X']","[1, 1]","['Tl', 'X']"
l,nu_tau,2,B,lX,l -- (l) -- B -- (X) -- nu_tau, 1l + MET,"{'lX', 'TX'}",['LX'],[2],['LX']
l,nu_tau,2,W^+,TX,l -- (X) -- W^+ -- (T) -- nu_tau, 1tau + MET,"{'lX', 'TX'}",['LX'],[2],['LX']
l,nu_tau,2,W^0,lX,l -- (l) -- W^0 -- (X) -- nu_tau, 1l + MET,"{'lX', 'TX'}",['LX'],[2],['LX']
l,tau,2,B,Tl,l -- (l) -- B -- (T) -- tau, 1l + 1tau,{'Tl'},['Tl'],[1],['Tl']
nu,B,1,-,X,nu -- (X) -- B, MET,{'X'},['X'],[1],['X']
nu,W^+,1,-,l,nu -- (l) -- W^+, 1l,{'l'},['l'],[1],['l']
nu,W^0,1,-,X,nu -- (X) -- W^0, MET,{'X'},['X'],[1],['X']
nu,G,3,B q,jjX,nu -- (X) -- B -- (j) -- q -- (j) -- G, 2j_l + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,B d,jjX,nu -- (X) -- B -- (j) -- d -- (j) -- G, 2j_l + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
