Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E_3,nu,tau,TTX,"['nu -- (X) -- B -- (T) -- tau -- [T,X]']",2, 2tau + MET
L L E,e,l,lllX,"['e -- (l) -- B -- (l) -- l -- [X,l]']",2, 3l + MET
L L E,e,nu,lllX,"['e -- (l) -- B -- (X) -- nu -- [l,l]']",2, 3l + MET
L L E,e,e,lX,"['e -- [l,X]']",0, 1l + MET
L_3 L E,e,l,lllX,"['e -- (l) -- B -- (l) -- l -- [X,l]']",2, 3l + MET
L_3 L E,e,nu_tau,lllX,"['e -- (l) -- B -- (X) -- nu_tau -- [l,l]']",2, 3l + MET
L_3 L E,e,e,lX,"['e -- [l,X]']",0, 1l + MET
L_3 L E,e,tau_L,TllX,"['e -- (l) -- B -- (T) -- tau_L -- [X,l]']",2, 2l + 1tau + MET
L_3 L E,e,nu,TllX,"['e -- (l) -- B -- (X) -- nu -- [T,l]']",2, 2l + 1tau + MET
L_3 L E,e,e,TX,"['e -- [T,X]']",0, 1tau + MET
L L E_3,e,l,TllX,"['e -- (l) -- B -- (l) -- l -- [X,T]']",2, 2l + 1tau + MET
L L E_3,e,nu,TllX,"['e -- (l) -- B -- (X) -- nu -- [l,T]']",2, 2l + 1tau + MET
L L E_3,e,tau,TllX,"['e -- (l) -- B -- (T) -- tau -- [l,X]']",2, 2l + 1tau + MET
L_3 L E_3,e,l,TllX,"['e -- (l) -- B -- (l) -- l -- [X,T]']",2, 2l + 1tau + MET
L_3 L E_3,e,nu_tau,TllX,"['e -- (l) -- B -- (X) -- nu_tau -- [l,T]']",2, 2l + 1tau + MET
L_3 L E_3,e,tau,TllX,"['e -- (l) -- B -- (T) -- tau -- [l,X]']",2, 2l + 1tau + MET
L_3 L E_3,e,tau_L,TTlX,"['e -- (l) -- B -- (T) -- tau_L -- [X,T]']",2, 1l + 2tau + MET
L_3 L E_3,e,nu,TTlX,"['e -- (l) -- B -- (X) -- nu -- [T,T]']",2, 1l + 2tau + MET
L_3 L E_3,e,tau,TTlX,"['e -- (l) -- B -- (T) -- tau -- [T,X]']",2, 1l + 2tau + MET
L L E,b_L,l,tlX,"['b_L -- (t) -- W^+ -- (X) -- l -- [X,l]']",2, 1t + 1l + MET
