Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 Q_3 D,tau_L,d,bjTX,"['tau_L -- (T) -- B -- (j) -- d -- [X,b]']",2, 1j_l + 1b + 1tau + MET
L_3 Q_3 D_3,tau_L,tau_L,tb,"['tau_L -- [t,b]']",0, 1t + 1b
L_3 Q_3 D_3,tau_L,t_L,bbTX,"['tau_L -- (X) -- W^+ -- (b) -- t_L -- [T,b]']",2, 2b + 1tau + MET
L_3 Q_3 D_3,tau_L,t_L,tbTT,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau_L -- (T) -- W^0 -- (t) -- t_L -- [T,b]']",2, 1t + 1b + 2tau
L_3 Q_3 D_3,tau_L,b,tbTT,"['tau_L -- (T) -- B -- (b) -- b -- [T,t]']",2, 1t + 1b + 2tau
L_3 Q_3 D_3,tau_L,b_L,bbTX,"['tau_L -- (T) -- W^0 -- (b) -- b_L -- [X,b]', 'tau_L -- (T) -- B -- (b) -- b_L -- [X,b]']",2, 2b + 1tau + MET
L_3 Q_3 D_3,tau_L,b_L,tbX,"['tau_L -- (X) -- W^+ -- (t) -- b_L -- [X,b]']",2, 1t + 1b + MET
L_3 Q_3 D_3,tau_L,b,bbTX,"['tau_L -- (T) -- B -- (b) -- b -- [X,b]']",2, 2b + 1tau + MET
L Q D,nu_tau,l,jjlX,"['nu_tau -- (X) -- W^0 -- (l) -- l -- [j,j]', 'nu_tau -- (X) -- B -- (l) -- l -- [j,j]']",2, 2j_l + 1l + MET
L Q D,nu_tau,l,jjTX,"['nu_tau -- (T) -- W^+ -- (X) -- l -- [j,j]']",2, 2j_l + 1tau + MET
L Q D,nu_tau,q,jjTl,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [l,j]']",2, 2j_l + 1l + 1tau
L Q D,nu_tau,q,jjlX,"['nu_tau -- (X) -- W^0 -- (j) -- q -- [l,j]', 'nu_tau -- (X) -- B -- (j) -- q -- [l,j]']",2, 2j_l + 1l + MET
L Q D,nu_tau,d,jjlX,"['nu_tau -- (X) -- B -- (j) -- d -- [l,j]']",2, 2j_l + 1l + MET
L Q D,nu_tau,nu,jjTl,"['nu_tau -- (T) -- W^+ -- (l) -- nu -- [j,j]']",2, 2j_l + 1l + 1tau
L Q D,nu_tau,nu,jjX,"['nu_tau -- (X) -- W^0 -- (X) -- nu -- [j,j]', 'nu_tau -- (X) -- B -- (X) -- nu -- [j,j]']",2, 2j_l + MET
L Q D,nu_tau,q,jjTX,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [X,j]']",2, 2j_l + 1tau + MET
L Q D,nu_tau,q,jjX,"['nu_tau -- (X) -- W^0 -- (j) -- q -- [X,j]', 'nu_tau -- (X) -- B -- (j) -- q -- [X,j]']",2, 2j_l + MET
L Q D,nu_tau,d,jjX,"['nu_tau -- (X) -- B -- (j) -- d -- [X,j]']",2, 2j_l + MET
L Q D_3,nu_tau,l,bjlX,"['nu_tau -- (X) -- W^0 -- (l) -- l -- [j,b]', 'nu_tau -- (X) -- B -- (l) -- l -- [j,b]']",2, 1j_l + 1b + 1l + MET
L Q D_3,nu_tau,l,bjTX,"['nu_tau -- (T) -- W^+ -- (X) -- l -- [j,b]']",2, 1j_l + 1b + 1tau + MET
L Q D_3,nu_tau,q,bjTl,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [l,b]']",2, 1j_l + 1b + 1l + 1tau
L Q D_3,nu_tau,q,bjlX,"['nu_tau -- (X) -- B -- (j) -- q -- [l,b]', 'nu_tau -- (X) -- W^0 -- (j) -- q -- [l,b]']",2, 1j_l + 1b + 1l + MET
L Q D_3,nu_tau,b,bjlX,"['nu_tau -- (X) -- B -- (b) -- b -- [l,j]']",2, 1j_l + 1b + 1l + MET
L Q D_3,nu_tau,nu,bjTl,"['nu_tau -- (T) -- W^+ -- (l) -- nu -- [j,b]']",2, 1j_l + 1b + 1l + 1tau
L Q D_3,nu_tau,nu,bjX,"['nu_tau -- (X) -- W^0 -- (X) -- nu -- [j,b]', 'nu_tau -- (X) -- B -- (X) -- nu -- [j,b]']",2, 1j_l + 1b + MET
L Q D_3,nu_tau,q,bjTX,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [X,b]']",2, 1j_l + 1b + 1tau + MET
L Q D_3,nu_tau,q,bjX,"['nu_tau -- (X) -- W^0 -- (j) -- q -- [X,b]', 'nu_tau -- (X) -- B -- (j) -- q -- [X,b]']",2, 1j_l + 1b + MET
