CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,L L E,W^+,W^+,jjjTX,vvllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",vvjjjTllX, 3j_l + 1tau + MET, 2l + 2v + MET, 3j_l + 2l + 1tau + 2v + MET
U D D,L L E,W^+,W^+,jjjTX,jjllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']",jjjjjTllX, 3j_l + 1tau + MET, 2j_l + 2l + MET, 5j_l + 2l + 1tau + MET
U D D,L L E,W^+,W^+,jjjTX,lll,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (l) -- nu -- [l,l]']",jjjTlllX, 3j_l + 1tau + MET, 3l, 3j_l + 3l + 1tau + MET
U D D,L L E,W^+,W^+,tbjjj,lX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- l -- [X,l]']",tbjjjlX, 3j_l + 1t + 1b, 1l + MET, 3j_l + 1t + 1b + 1l + MET
U D D,L L E,W^+,W^+,tbjjj,lllX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",tbjjjlllX, 3j_l + 1t + 1b, 3l + MET, 3j_l + 1t + 1b + 3l + MET
U D D,L L E,W^+,W^+,tbjjj,TllX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",tbjjjTllX, 3j_l + 1t + 1b, 2l + 1tau + MET, 3j_l + 1t + 1b + 2l + 1tau + MET
U D D,L L E,W^+,W^+,tbjjj,tbllX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",ttbbjjjllX, 3j_l + 1t + 1b, 1t + 1b + 2l + MET, 3j_l + 2t + 2b + 2l + MET
U D D,L L E,W^+,W^+,tbjjj,vvllX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",vvtbjjjllX, 3j_l + 1t + 1b, 2l + 2v + MET, 3j_l + 1t + 1b + 2l + 2v + MET
U D D,L L E,W^+,W^+,tbjjj,jjllX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']",tbjjjjjllX, 3j_l + 1t + 1b, 2j_l + 2l + MET, 5j_l + 1t + 1b + 2l + MET
U D D,L L E,W^+,W^+,tbjjj,lll,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']","['W^+ -- (l) -- nu -- [l,l]']",tbjjjlll, 3j_l + 1t + 1b, 3l, 3j_l + 1t + 1b + 3l
