CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D_3,tau_L,nu_tau,tbE,tbTE,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,b]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,b]']",ttbbTE, 1t + 1b + MET, 1t + 1b + 1tau + MET, 2t + 2b + 1tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,tbE,bb,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,b]']","['nu_tau -- [b,b]']",tbbbE, 1t + 1b + MET, 2b, 1t + 3b + MET
L_3 Q_3 D_3,tau_L,nu_tau,tbE,bbE,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,b]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,b]']",tbbbE, 1t + 1b + MET, 2b + MET, 1t + 3b + MET
L_3 Q_3 D_3,tau_L,nu_tau,tbE,bbTT,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,b]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,b]']",tbbbTTE, 1t + 1b + MET, 2b + 2tau, 1t + 3b + 2tau + MET
U D D,tau_L,nu_tau,jjjT,jjjE,"['tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['nu_tau -- (E) -- B -- (j) -- u -- [j,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [j,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [j,j]']",jjjjjjTE, 3j_l + 1tau, 3j_l + MET, 6j_l + 1tau + MET
U D_3 D,tau_L,nu_tau,bjjT,bjjE,"['tau_L -- (T) -- B -- (j) -- u -- [j,b]', 'tau_L -- (T) -- B -- (j) -- d -- [j,b]', 'tau_L -- (T) -- B -- (b) -- b -- [j,j]']","['nu_tau -- (E) -- B -- (j) -- u -- [j,b]', 'nu_tau -- (E) -- B -- (j) -- d -- [j,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [j,j]']",bbjjjjTE, 2j_l + 1b + 1tau, 2j_l + 1b + MET, 4j_l + 2b + 1tau + MET
U D_3 D_3,tau_L,nu_tau,bbjT,bbjE,"['tau_L -- (T) -- B -- (j) -- u -- [b,b]', 'tau_L -- (T) -- B -- (b) -- b -- [j,b]', 'tau_L -- (T) -- B -- (b) -- b -- [j,b]']","['nu_tau -- (E) -- B -- (j) -- u -- [b,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [j,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [j,b]']",bbbbjjTE, 1j_l + 2b + 1tau, 1j_l + 2b + MET, 2j_l + 4b + 1tau + MET
U_3 D D,tau_L,nu_tau,tjjT,tjjE,"['tau_L -- (T) -- B -- (t) -- t -- [j,j]', 'tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'tau_L -- (T) -- B -- (j) -- d -- [t,j]']","['nu_tau -- (E) -- B -- (t) -- t -- [j,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [t,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [t,j]']",ttjjjjTE, 2j_l + 1t + 1tau, 2j_l + 1t + MET, 4j_l + 2t + 1tau + MET
U_3 D_3 D,tau_L,nu_tau,tbjT,tbjE,"['tau_L -- (T) -- B -- (t) -- t -- [j,b]', 'tau_L -- (T) -- B -- (j) -- d -- [t,b]', 'tau_L -- (T) -- B -- (b) -- b -- [t,j]']","['nu_tau -- (E) -- B -- (t) -- t -- [j,b]', 'nu_tau -- (E) -- B -- (j) -- d -- [t,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [t,j]']",ttbbjjTE, 1j_l + 1t + 1b + 1tau, 1j_l + 1t + 1b + MET, 2j_l + 2t + 2b + 1tau + MET
U_3 D_3 D_3,tau_L,nu_tau,tbbT,tbbE,"['tau_L -- (T) -- B -- (t) -- t -- [b,b]', 'tau_L -- (T) -- B -- (b) -- b -- [t,b]', 'tau_L -- (T) -- B -- (b) -- b -- [t,b]']","['nu_tau -- (E) -- B -- (t) -- t -- [b,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [t,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [t,b]']",ttbbbbTE, 1t + 2b + 1tau, 1t + 2b + MET, 2t + 4b + 1tau + MET
